,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
153,Nouakchott,100,MR,1571018050,88,18.08,-15.98,77.0,14.99
154,Denpasar,20,ID,1571018050,78,-8.65,115.22,82.4,4.7
155,Rocha,17,UY,1571018050,68,-34.48,-54.34,43.45,7.38
156,Providencia,100,CO,1571018051,90,1.24,-77.6,45.03,5.87
157,Wonthaggi,33,AU,1571018051,56,-38.6,145.59,78.01,8.06
158,Kimbe,100,PG,1571018051,82,-5.56,150.15,82.53,4.0
159,Katherine,55,AU,1571018052,21,-14.47,132.26,93.2,6.93
160,Bima,81,ID,1571018052,25,-8.45,118.73,95.9,6.49
161,Thompson,90,CA,1571018052,100,55.74,-97.86,33.8,6.93
162,Aleksandrovsk-Sakhalinskiy,31,RU,1571018052,51,50.9,142.16,38.62,18.65
163,Tete,85,MZ,1571018053,75,-16.16,33.59,74.12,8.97
164,Touros,75,BR,1571018053,94,-5.2,-35.46,73.4,5.82
165,Ondangwa,97,NA,1571018053,56,-17.91,15.98,73.17,12.35
166,Beatrice,1,US,1571018054,49,40.27,-96.75,48.2,2.63
167,Marzuq,0,YE,1571018054,38,14.4,46.47,68.25,1.73
168,Lavrentiya,100,RU,1571018054,80,65.58,-170.99,35.44,13.76
169,Belle Fourche,1,US,1571018055,69,44.67,-103.85,42.8,5.82
170,Esperance,75,AU,1571018055,72,-33.86,121.89,60.8,5.82
171,Geraldton,90,CA,1571018055,96,49.72,-86.95,33.8,6.93
172,Eldorado,9,BR,1571018056,79,-24.52,-48.11,72.32,1.49
173,Duiwelskloof,100,ZA,1571018056,91,-23.69,30.14,60.06,13.2
174,Hilo,75,US,1571018056,62,19.71,-155.08,84.2,8.05
175,Vawkavysk,19,BY,1571018056,85,53.15,24.45,53.1,10.74
176,Alta Floresta,67,BR,1571018057,82,-9.87,-56.08,73.56,2.26
177,Kalaleh,0,IR,1571018057,93,37.38,55.49,51.8,3.57
178,Codrington,40,AU,1571018058,47,-28.95,153.24,78.01,8.05
179,Garowe,23,SO,1571018058,78,8.41,48.48,75.52,9.47
180,Praia da Vitoria,75,PT,1571018058,72,38.73,-27.07,64.4,14.25
181,Taoudenni,38,ML,1571018058,29,22.68,-3.98,86.47,8.9
182,Tiznit,45,MA,1571018059,90,29.7,-9.73,59.95,3.87
183,Ola,100,RU,1571018059,56,59.58,151.3,25.93,7.37
184,Airai,14,TL,1571018038,13,-8.93,125.41,87.78,9.3
185,Valparaiso,90,US,1571018059,75,41.47,-87.06,50.0,6.93
186,Yellowknife,90,CA,1571018047,70,62.45,-114.38,32.0,6.93
187,Arraial do Cabo,0,BR,1571018060,87,-22.97,-42.02,72.72,29.59
188,Bathsheba,75,BB,1571018060,83,13.22,-59.52,78.8,13.87
189,Bredasdorp,8,ZA,1571018061,87,-34.53,20.04,50.0,1.12
190,Severo-Kurilsk,51,RU,1571018060,63,50.68,156.12,37.76,29.77
191,Youkounkoun,100,GN,1571018061,95,12.53,-13.12,73.18,1.3
192,Lebu,20,ET,1571018061,87,8.96,38.73,51.8,4.7
193,Balikpapan,92,ID,1571018062,61,-1.24,116.86,88.09,2.99
194,Hithadhoo,100,MV,1571018037,73,-0.6,73.08,82.9,5.01
195,Lagoa,20,PT,1571018040,88,37.14,-8.45,68.0,9.17
196,Khatanga,95,RU,1571018062,93,71.98,102.47,25.52,13.52
197,Puerto Ayora,0,EC,1571018063,89,-0.74,-90.35,68.0,5.01
198,Port Hardy,40,CA,1571018063,76,50.7,-127.42,51.8,5.82
199,Vila Velha,75,BR,1571018063,69,-3.71,-38.6,80.6,16.11
200,Fort Nelson,90,CA,1571018063,69,58.81,-122.69,35.6,3.36
201,Qaanaaq,100,GL,1571018064,53,77.48,-69.36,11.71,13.68
202,Victoria,75,BN,1571018064,74,5.28,115.24,84.2,1.12
203,Santa Cruz Cabralia,75,BR,1571018064,73,-16.28,-39.02,75.2,8.05
204,Kruisfontein,0,ZA,1571018065,91,-34.0,24.73,53.98,7.56
205,Jertih,75,MY,1571018065,83,5.74,102.5,80.6,4.7
206,Kieta,100,PG,1571018065,70,-6.22,155.63,83.28,6.5
207,Vinh Yen,40,VN,1571018066,69,21.31,105.6,80.6,6.93
208,Calvinia,0,ZA,1571018066,41,-31.47,19.78,52.36,3.01
209,Ribeira Grande,100,PT,1571018066,78,38.52,-28.7,61.52,11.59
210,San Policarpo,1,PH,1571018067,70,12.18,125.51,82.45,3.27
211,Baker City,1,US,1571018067,30,44.77,-117.83,57.2,4.7
212,Pozo Colorado,0,PY,1571018067,43,-23.49,-58.8,83.79,5.89
213,Guinguineo,100,SN,1571018067,82,14.27,-15.95,77.22,8.13
214,Mikasa,75,JP,1571018068,71,43.25,141.9,60.01,8.05
215,At-Bashi,0,KG,1571018068,38,41.17,75.81,33.48,3.56
216,Kodiak,1,US,1571018063,61,39.95,-94.76,50.0,4.7
217,Nsanje,89,MZ,1571018069,77,-16.92,35.26,72.41,3.91
218,Palamos,75,ES,1571018069,100,41.85,3.13,69.01,0.17
219,Grindavik,90,IS,1571018069,93,63.84,-22.43,41.0,17.22
220,San Patricio,42,PY,1571018069,83,-26.98,-56.83,75.51,9.42
221,Cayenne,98,GF,1571018070,94,4.94,-52.33,75.2,5.75
222,Lorengau,100,PG,1571018070,67,-2.02,147.27,84.15,7.89
223,Vilhena,45,BR,1571018070,79,-12.74,-60.15,73.44,0.83
224,Shakawe,3,BW,1571018071,23,-18.36,21.84,67.64,5.82
225,Kahului,20,US,1571017644,43,20.89,-156.47,89.6,20.8
226,Saint-Pierre,75,FR,1571018071,93,48.95,4.24,62.6,4.7
227,Saldanha,99,PT,1571018042,72,41.42,-6.55,58.28,7.34
228,Dunedin,100,NZ,1571018071,83,-45.87,170.5,52.0,21.0
229,Moyale,52,ET,1571018072,90,3.52,39.05,68.47,6.56
230,Luba,98,PH,1571018072,60,17.32,120.7,86.83,2.6
231,La Asuncion,100,AR,1571018072,96,-26.05,-65.39,51.53,2.8
232,Tual,0,ID,1571018073,70,-5.67,132.75,82.74,9.69
233,Yinchuan,100,CN,1571018073,29,38.48,106.21,39.0,4.0
234,Moerai,52,PF,1571018074,73,-22.43,-151.33,70.88,14.11
235,Vanimo,100,PG,1571018074,82,-2.67,141.3,79.32,10.75
236,Lisala,93,CD,1571018074,91,2.15,21.52,68.7,1.03
237,Fortuna,1,US,1571018075,81,40.6,-124.16,55.0,4.7
238,Saint George,0,GR,1571018075,93,39.45,22.34,57.2,1.21
239,Luyang,20,CN,1571018075,77,31.88,117.26,66.2,15.66
240,Gladstone,0,AU,1571018076,53,-23.84,151.26,75.2,11.41
241,Stromness,20,CA,1571018076,54,42.87,-79.55,60.01,8.05
242,Benemerito de las Americas,89,MX,1571018076,98,16.52,-90.64,71.56,2.06
243,Qaqortoq,0,GL,1571018077,69,60.72,-46.03,33.8,1.12
244,Monrovia,75,LR,1571018040,94,6.33,-10.8,77.0,4.53
245,Lompoc,1,US,1571018077,42,34.64,-120.46,64.4,5.82
246,Ballina,100,IE,1571018077,94,54.11,-9.15,46.99,4.02
247,Semey,12,KZ,1571018078,39,50.41,80.25,57.16,14.54
248,Passo de Camaragibe,75,BR,1571018078,78,-9.24,-35.49,77.0,9.17
249,Turukhansk,95,RU,1571018078,98,65.8,87.96,35.06,5.15
250,Motupe,80,PE,1571018078,78,-6.15,-79.72,59.43,1.9
251,Port Macquarie,0,AU,1571018079,49,-31.43,152.91,75.0,6.93
252,Opochka,47,RU,1571018079,97,56.71,28.66,44.37,4.87
253,Vestmannaeyjar,65,IS,1571018079,71,63.44,-20.27,44.64,24.09
254,Kyaikkami,88,MM,1571018080,74,16.08,97.57,82.89,8.04
255,Katsuura,40,JP,1571018080,64,33.93,134.5,71.6,10.29
256,Mehamn,98,NO,1571018080,74,71.03,27.85,32.9,4.1
257,Pisco,90,PE,1571018081,77,-13.71,-76.2,64.4,6.93
258,Kaeo,100,NZ,1571018081,100,-35.1,173.78,55.99,36.5
259,Poum,0,MK,1571018081,78,41.28,20.71,51.17,2.22
260,Dovers,40,VC,1571018082,78,12.88,-61.18,82.4,8.05
261,Maebaru,20,JP,1571018082,49,33.55,130.2,81.0,12.75
262,Honningsvag,95,NO,1571018082,61,70.98,25.97,38.08,5.51
263,Kendari,45,ID,1571018083,40,-3.99,122.52,93.49,4.45
264,Lovington,1,US,1571018083,32,32.94,-103.35,69.01,4.7
265,Malatya,0,TR,1571018083,60,38.35,38.32,41.0,6.93
266,Taylorville,1,US,1571018083,70,39.55,-89.29,55.4,6.93
267,Luderitz,0,NA,1571018084,76,-26.65,15.16,57.2,2.24
268,Namibe,75,AO,1571018084,88,-15.19,12.15,70.63,4.55
269,Komsomolskiy,100,RU,1571018084,89,67.55,63.78,31.89,6.93
270,Kavieng,100,PG,1571018081,69,-2.57,150.8,83.7,4.35
271,Tambun,20,ID,1571018085,62,-6.26,107.07,87.01,3.36
272,Wright,1,US,1571018085,69,43.75,-105.48,48.0,3.36
273,Quelimane,1,MZ,1571018085,88,-17.88,36.89,71.6,2.24
274,Seda,100,LT,1571018086,87,56.17,22.09,60.8,19.46
275,Teguldet,99,RU,1571018086,85,57.31,88.17,45.54,7.69
276,Burgeo,21,CA,1571018086,85,47.61,-57.61,52.03,10.46
277,Kashan,25,IR,1571018086,52,33.99,51.44,64.4,2.24
278,Timizart,0,DZ,1571018087,60,36.8,4.25,77.0,7.13
